N	K	Time (s)
1	1	.223345197
1	2	.251022052
1	3	.253114302
1	4	.250669835
1	5	.241626352
1	6	.267009961
1	7	.231744834
1	8	.234201219
1	9	.234832316
1	10	.218185884
1	11	.209961972
1	12	.211220647
1	13	.214864330
1	14	.259942595
1	15	.275229072
2	1	.048777932
2	2	.052117139
2	3	.050551298
2	4	.050311982
2	5	.049992334
2	6	.047659097
2	7	.047208697
2	8	.046691432
2	9	.046847173
2	10	.046528147
2	11	.051313357
2	12	.051921563
2	13	.047408188
2	14	.048655513
2	15	.047486375
3	1	.048976902
3	2	.048681931
3	3	.255374739
3	4	.245768132
3	5	.186372076
3	6	.190737404
3	7	.181434007
3	8	.181030666
3	9	.182617254
3	10	.167435151
3	11	.195563729
3	12	.174158307
3	13	.174676894
3	14	.171175527
3	15	.172113069
4	1	.051990141
4	2	.048883087
4	3	.046332952
4	4	.051480474
4	5	.048378568
4	6	.048164709
4	7	.051180301
4	8	.051449616
4	9	.049465767
4	10	.049645780
4	11	.050020879
4	12	.049625022
4	13	.053054277
4	14	.048610982
4	15	.050024734
5	1	.052401755
5	2	.052643706
5	3	.053878773
5	4	.060722993
5	5	.055689828
5	6	.057157666
5	7	.053156763
5	8	.054275391
5	9	.051286977
5	10	.053599129
5	11	.053549789
5	12	.051780368
5	13	.051009922
5	14	.052588125
5	15	.051403018
6	1	.195635574
6	2	.199921746
6	3	.304428296
6	4	.340739497
6	5	.441484584
6	6	.550904192
6	7	.576334111
6	8	.453511652
6	9	.274838177
6	10	.162557179
6	11	.110581929
6	12	.094160165
6	13	.083710369
6	14	.077086747
6	15	.070830462
7	1	13.235624831
7	2	13.561571132
7	3	22.184568163
7	4	28.980208321
7	5	61.849411500
7	6	162.046717025
7	7	383.050592360
7	8	686.601178340
